permit_number,issue_date,permit_type,category,project_address,description,valuation,contractor,builder_permit_count,repeat_builder,source_report
2026 023049,2026-06-22,Residential,ADU,728 JOSEPHINE AVE,CREATE ADDITIONAL DWELLING UNIT,900000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20June%202026.pdf
2026 022903,2026-06-22,Residential,ADU,726 JOSEPHINE AVE,CREATE ADDITIONAL DWELLING UNIT,900000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20June%202026.pdf
2025 052039,2026-05-07,Residential,ADU,4601 8TH CON RD,ADDITIONAL DWELLING UNIT IN THE REAR,429525.88,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20%20May%202026.pdf
2025 047088,2026-04-30,Residential,ADU,420 ROSEDALE AVE,(ADU) IN THE SECOND FLOOR OF NEWLY,353947.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20%20May%202026.pdf
2025 047087,2026-04-30,Residential,ADU,420 ROSEDALE AVE,(ADU) IN THE BASEMENT OF NEWLY,353947.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20%20May%202026.pdf
2025 050165,2026-04-24,Residential,ADU,ADUS,DWELLING WITH 1 ADDITIONAL DWELLING,615484.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20%20May%202026.pdf
2025 050021,2026-04-24,Residential,ADU,ADUS,DWELLING WITH 1 ADDITIONAL DWELLING,615484.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20%20May%202026.pdf
2025 049497,2026-04-14,Residential,New Construction,285 GILES BLVD E - DECO LOFTS,TO CONSTRUCT FORTY-SIX(46) DWELLING,2000000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20%20May%202026.pdf
2026 008313,2026-04-07,Residential,ADU,684 BRIDGE AVE,DWELLING WITH SECONDARY/ADDITIONAL,300000.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20%20May%202026.pdf
2026 002028,2026-03-27,Residential,ADU,UNIT,CONSTRUCT ADDITIONAL DWELLING UNIT,813105.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20%20May%202026.pdf
2026 010611,2026-03-22,Residential,ADU,2969 LANGLOIS AVE,DETACHED ADDITIONAL DWELLING UNIT,251967.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20%20May%202026.pdf
2025 044993,2026-03-13,Residential,ADU,1844 MEIGHEN RD - ADU #2,DWELLING WITH (2) ADDITIONAL DWELLING,321538.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20%20May%202026.pdf
2025 044992,2026-03-13,Residential,ADU,1844 MEIGHEN RD - BSMT ADU,DWELLING WITH (2) ADDITIONAL DWELLING,319158.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20%20May%202026.pdf
2025 048570,2026-03-02,Residential,ADU,942 CAMPBELL AVE UNIT 2,CONSTRUCT ADDITIONAL DWELLING UNIT,382479.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20%20May%202026.pdf
2025 048569,2026-03-02,Residential,ADU,942 CAMPBELL AVE UNIT 3,CONSTRUCT ADDITIONAL DWELLING UNIT,382479.00,,,,https://www.citywindsor.ca/documents/residents/building/building-information/Major%20Construction%20Report%20Jan%20-%20%20May%202026.pdf
